"","text"
"1","i have to mention that most of this place was closed due to the g summit so my review is only based on the things that were open at the time "
"2","it is a very beautiful and aesthetic places to visit but the cost of the ticket is a little steep also when we get inside the campus there is a ticket there is also a show and a museum for which we will have to pay extra bucks if we "
"3","this is the first time i went to gwk i was thinking the place is only that big statue that we can see but i found amazing place and good made "
"4","its a nice sized cultural park with a lot of wide open spaces you will initially go to the designated parking area and there will be a shuttle bus to bring you to the ticketing area of note if you come with a driverguide they can "
"5","free shuttle around the place tickets required for entry the standard ticket was k per pax includes welcome drinksmuseum ticket dance performance is free as well a few shops for souvenirs bring your own shopping bag or u will need "
"6","we really enjoyed our visit to the gwk cultural park great walk to the garuda wisnu statue  definitely do the tour up to the observation level on  floor  your guide was very friendly and knowledgeable park is only  complete  cant wait to see the development of the park  will definitely visit when next in bali"
"7","really enjoyed our day out at gvk cultural park  we saw the cultural show in the theatre before wandering through the premises  it was a beautiful sunny day so we enjoyed walking to all the statues ending at the museum  we opted to "
"8","a must visit place if you are in balibut be rady to walk to watch all the sculptures and buildings place is spread across a large area so as soon as you enter take a free ride to the ticket station and  then you can choose either to "
"9","this place is truly unbelievable when the park is completed it is going to be a major attraction to stand and look up from the base is just unbelievable the engineering that went i to tis monumental task is just beyond belief inside the "
"10","incredible place we thought this statue was just in the middle of nowhere and its actually a huge park not much was open due to being post pandemic and we also only had a couple of hours to walk around the visnugaruda statue is really impressive"
"11","the views were magnificent the place is clean cannot wait for the real full development the show was superb we enjoyed it very fun wish we have more time to watch another show the souvenirss were so high quality one last comment i hope the food will be improved more"
"12","the building is nice and very spacious and big lots of beautiful statues and you can also go inside the building to see history and also can watch traditional balinese dance"
"13","i thoroughly enjoyed walking around this cultural park because of the stories presented along the way by the statues and carvings the hindu legend has its own mother of dragons and mother of garuda the admission ticket includes cultural "
"14","very beautiful and peaceful with some good panoramic views of bali ticket prices are high but dance and music performances are included in the ticket the statues are magnificent and the efforts are truly commendable "
"15","preferred to walk than using shuttle k rupiahs for shuttle theres many little spot you only could enjoy while walking and its not far bring your hat here in the summer and if it rain they provide free umbrella to use k rupiahs "
"16","magnanimous statue of lord vishnu on garuda parts of the camps are still under construction but the sections open for public are well maintained i gave  star less only because of internal transport management "
"17","the place is impressive i paid  euros aprox but it is well worth the ticket includes access to the enclosure and also it gives you the opportunity to watch the live show the escultures are huge and amazing if you have time visit it ill recommend to you to do it during morning hours  "
"18","a very nice place to visit there are big statue of god vishnu and bird garuda balinese dance are performing  times a day tickets can be buy at the counter if you bring elderly please inform the security to drop them of at the lobi the distance between lobby and parking lot is about  kilometers"
"19","for a people with eyesight problem high myopia and asigmatism going up and down the stairs was challenging i should really watch my step so i wont trip and fell down "
"20","worth the drive glad i saw it  the park will improve over the next few years im sure  development was interrupted by covid  the statue is just so impressive"
"21","i was in bali three years ago for a business trip in nusa dua on our way from the airport there stood a magnificent garuda wishnu kencanas statue it was mesmerizing to see such huge statue but i can only admire it from a distant "
"22","the garuda wisnu kencana statue is balis most iconic landmark and depicts the hindu god wisnu atop his mount the mythical eagle garuda the garuda is the national emblem of indonesia an enduring symbol of freedom from oppression "
